Year,Region,Sex,Age Group,Ethnic Group,Measure,Value,Flags
2018,Waikato Region,Total Both Sexes,25 to 29,Total Ethnic Groups,Average Weekly Earnings,1050,
2018,Waikato Region,Total Both Sexes,25 to 29,Total Ethnic Groups,Median Weekly Earnings,959,
2018,Bay of Plenty Region,Total Both Sexes,25 to 29,Total Ethnic Groups,Average Weekly Earnings,910,
2018,Bay of Plenty Region,Total Both Sexes,25 to 29,Total Ethnic Groups,Median Weekly Earnings,860,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,25 to 29,Total Ethnic Groups,Average Weekly Earnings,960,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,25 to 29,Total Ethnic Groups,Median Weekly Earnings,900,
2018,Taranaki Region,Total Both Sexes,25 to 29,Total Ethnic Groups,Average Weekly Earnings,777,
2018,Taranaki Region,Total Both Sexes,25 to 29,Total Ethnic Groups,Median Weekly Earnings,761,
2018,Manawatu-Wanganui Region,Total Both Sexes,25 to 29,Total Ethnic Groups,Average Weekly Earnings,973,
2018,Manawatu-Wanganui Region,Total Both Sexes,25 to 29,Total Ethnic Groups,Median Weekly Earnings,978,
2018,Wellington Region,Total Both Sexes,25 to 29,Total Ethnic Groups,Average Weekly Earnings,1067,
2018,Wellington Region,Total Both Sexes,25 to 29,Total Ethnic Groups,Median Weekly Earnings,1034,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,25 to 29,Total Ethnic Groups,Average Weekly Earnings,960,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,25 to 29,Total Ethnic Groups,Median Weekly Earnings,880,
2018,Canterbury Region,Total Both Sexes,25 to 29,Total Ethnic Groups,Average Weekly Earnings,1069,
2018,Canterbury Region,Total Both Sexes,25 to 29,Total Ethnic Groups,Median Weekly Earnings,1040,
2018,Otago Region,Total Both Sexes,25 to 29,Total Ethnic Groups,Average Weekly Earnings,1025,
2018,Otago Region,Total Both Sexes,25 to 29,Total Ethnic Groups,Median Weekly Earnings,920,
2018,Southland Region,Total Both Sexes,25 to 29,Total Ethnic Groups,Average Weekly Earnings,875,
2018,Southland Region,Total Both Sexes,25 to 29,Total Ethnic Groups,Median Weekly Earnings,840,
2018,Northland Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Average Weekly Earnings,1052,
2018,Northland Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Median Weekly Earnings,972,
2018,Auckland Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Average Weekly Earnings,1255,
2018,Auckland Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Median Weekly Earnings,1114,
2018,Waikato Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Average Weekly Earnings,1073,
2018,Waikato Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Median Weekly Earnings,1000,
2018,Bay of Plenty Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Average Weekly Earnings,1272,
